sampled;knownPopulation;FAM01_DFAGA;FAM01_DFAGAb;FAM03_022206;FAM03_022206b;FAM06_84596;FAM06_84596b;NED07_DCRW4;NED07_DCRW4b;NED08_033740;NED08_033740b;NED09_ESGND;NED09_ESGNDb;VIC12_DMX65;VIC12_DMX65b;VIC13_015521;VIC13_015521b;VIC14_127300;VIC14_127300b;PET15_DLXB1;PET15_DLXB1b;PET16_064797;PET16_064797b;PET17_58859;PET17_58859b
14_Jp_End_063A_P02;3;93;95;169;169;245;259;95;95;133;135;161;163;108;144;189;197;236;236;136;140;209;209;238;238
15_Jp_End_064A_P02;3;93;95;169;169;245;259;95;99;133;135;161;163;108;144;189;197;236;236;140;140;207;209;236;238
16_Jp_End_064B_P02;3;93;95;169;169;245;259;95;99;133;135;161;163;108;144;189;197;236;236;140;140;207;209;236;238
17_Jp_End_065A_P02;3;91;95;169;169;259;269;97;97;133;135;154;161;122;128;187;197;231;246;136;140;209;209;238;238
18_Jp_End_066A_P02;3;93;95;169;169;259;269;95;99;133;135;161;161;108;144;189;197;236;246;136;140;209;213;236;238
19_Jp_End_067A_P02;3;93;95;169;169;259;277;95;99;133;135;154;154;108;142;187;199;231;236;136;140;209;213;236;238
20_Jp_End_068A_P02;3;91;95;169;169;259;269;97;97;133;135;154;161;122;128;187;197;246;246;136;136;209;213;238;238
21_Jp_End_068B_P02;3;91;95;169;169;269;269;97;97;133;135;154;154;122;128;187;197;231;231;138;138;209;209;238;238
22_Jp_End_068C_P02;3;91;95;169;169;259;259;95;97;133;135;154;161;122;128;187;187;231;246;136;136;209;209;238;238
23_Jp_End_069A_P02;3;95;95;169;171;271;277;95;95;135;135;154;161;122;128;187;197;236;246;136;140;207;209;236;238
24_Jp_End_069B_P02;3;93;95;169;169;265;269;97;97;135;135;154;161;128;142;187;197;231;236;136;140;207;213;236;244
25_Jp_End_070A_P02;3;91;93;169;169;259;259;99;99;133;135;161;161;108;128;0;0;231;231;136;140;207;207;236;238
26_Jp_End_071A_P02;3;91;95;169;169;259;277;97;97;133;135;161;163;108;122;171;191;227;248;136;140;209;213;236;244
27_Jp_End_072A_P02;3;91;95;169;171;259;273;97;99;133;135;154;161;122;128;171;171;242;246;136;138;207;209;236;244
28_Jp_End_073A_P02;3;89;95;169;169;257;263;97;97;135;135;154;161;108;144;187;187;231;246;140;140;213;213;236;236
29_Jp_End_074A_P02;3;93;95;169;169;271;277;97;97;133;135;161;163;108;128;187;197;246;246;138;140;209;213;236;236
30_Jp_End_075A_P02;3;91;95;177;179;271;271;95;97;135;135;161;161;122;144;187;197;238;238;136;138;213;213;236;238
31_Jp_End_075B_P02;3;93;95;169;169;245;265;95;95;133;135;159;161;108;144;171;187;231;246;136;138;209;209;244;244
32_Jp_End_075C_P02;3;93;95;169;169;245;265;95;95;133;135;159;161;108;144;171;187;231;246;136;138;209;209;244;244
33_Jp_End_075D_P02;3;93;95;169;169;245;265;95;95;133;135;159;161;108;144;171;187;231;246;136;138;209;209;244;244
34_Jp_End_075E_P02;3;93;95;169;169;245;265;95;95;135;135;161;161;122;144;171;187;231;231;138;138;209;209;244;244
35_Jp_End_076A_P02;3;91;95;169;169;245;259;95;95;133;135;154;154;108;128;187;197;246;246;136;136;209;213;244;244
36_Jp_End_077A_P02;3;93;93;169;169;259;283;95;95;133;135;154;161;128;144;193;197;246;257;136;136;209;213;238;244
37_Jp_End_077B_P02;3;93;93;169;169;259;283;95;95;133;135;154;161;128;144;193;197;246;257;136;136;209;213;238;244
38_Jp_End_077C_P02;3;93;93;169;169;259;283;95;95;133;135;154;161;128;144;193;197;246;257;136;136;209;213;238;244
